Minneapolis Lakers,Syracuse Nationals,N/A,N/A,1950,4,2
Rochester Royals,New York Knicks,N/A,N/A,1951,4,3
Minneapolis Lakers,New York Knicks,N/A,N/A,1952,4,3
Minneapolis Lakers,New York Knicks,N/A,N/A,1953,4,1
Minneapolis Lakers,Syracuse Nationals,N/A,N/A,1954,4,3
Fort Wayne Pistons,Syracuse Nationals,N/A,N/A,1955,3,4
Fort Wayne Pistons,Philadelphia Warriors,B. Pettit,Saint Louis Hawks,1956,1,4
St. Louis Hawks,Boston Celtics,B. Cousy,Boston Celtics,1957,3,4
St. Louis Hawks,Boston Celtics,B. Russell,Boston Celtics,1958,4,2
Minneapolis Lakers,Boston Celtics,B. Pettit,Saint Louis Hawks,1959,0,4
St. Louis Hawks,Boston Celtics,W. Chamberlain,Philadelphia Warriors,1960,3,4
St. Louis Hawks,Boston Celtics,B. Russell,Boston Celtics,1961,1,4
Los Angeles Lakers,Boston Celtics,B. Russell,Boston Celtics,1962,3,4
Los Angeles Lakers,Boston Celtics,B. Russell,Boston Celtics,1963,2,4
San Francisco Warriors,Boston Celtics,O. Robertson,Cincinnati Royals,1964,1,4
Los Angeles Lakers,Boston Celtics,B. Russell,Boston Celtics,1965,1,4
Los Angeles Lakers,Boston Celtics,W. Chamberlain,Philadelphia 76ers,1966,3,4
San Francisco Warriors,Philadelphia 76ers,W. Chamberlain,Philadelphia 76ers,1967,2,4
Los Angeles Lakers,Boston Celtics,W. Chamberlain,Philadelphia 76ers,1968,2,4
Los Angeles Lakers,Boston Celtics,W. Unseld,Baltimore Bullets,1969,3,4
Los Angeles Lakers,New York Knicks,W. Reed,New York Knicks,1970,3,4
Milwaukee Bucks,Baltimore Bullets,K. AJabbar,Milwaukee Bucks,1971,4,0
Los Angeles Lakers,New York Knicks,K. AJabbar,Milwaukee Bucks,1972,4,1
Los Angeles Lakers,New York Knicks,D. Cowens,Boston Celtics,1973,1,4
Milwaukee Bucks,Boston Celtics,K. AJabbar,Milwaukee Bucks,1974,3,4
Golden State Warriors,Washington Bullets,B. McAdoo,Buffalo Braves,1975,4,0
Phoenix Suns,Boston Celtics,K. AJabbar,Los Angeles Lakers,1976,2,4
Portland Trail Blazers,Philadelphia 76ers,K. A-Jabbar,Los Angeles Lakers,1977,4,2
Seattle SuperSonics,Washington Bullets,B. Walton,Portland Trail Blazers,1978,3,4
Seattle SuperSonics,Washington Bullets,M. Malone,Houston Rockets,1979,4,1
Los Angeles Lakers,Philadelphia 76ers,K. AJabbar,Los Angeles Lakers,1980,4,2
Houston Rockets,Boston Celtics,J. Erving,Philadelphia 76ers,1981,2,4
Los Angeles Lakers,Philadelphia 76ers,M. Malone,Houston Rockets,1982,4,2
Los Angeles Lakers,Philadelphia 76ers,M. Malone,Philadelphia 76ers,1983,0,4
Los Angeles Lakers,Boston Celtics,L. Bird,Boston Celtics,1984,3,4
Los Angeles Lakers,Boston Celtics,L. Bird,Boston Celtics,1985,4,2
Houston Rockets,Boston Celtics,L. Bird,Boston Celtics,1986,2,4
Los Angeles Lakers,Boston Celtics,M. Johnson,Los Angeles Lakers,1987,4,2
Los Angeles Lakers,Detroit Pistons,M. Jordan,Chicago Bulls,1988,4,3
Los Angeles Lakers,Detroit Pistons,M. Johnson,Los Angeles Lakers,1989,0,4
Portland Trail Blazers,Detroit Pistons,M. Johnson,Los Angeles Lakers,1990,1,4
Los Angeles Lakers,Chicago Bulls,M. Jordan,Chicago Bulls,1991,1,4
Portland Trail Blazers,Chicago Bulls,M. Jordan,Chicago Bulls,1992,2,4
Phoenix Suns,Chicago Bulls,C. Barkley,Phoenix Suns,1993,2,4
Houston Rockets,New York Knicks,H. Olajuwon,Houston Rockets,1994,4,3
Houston Rockets,Orlando Magic,D. Robinson,San Antonio Spurs,1995,4,0
Seattle SuperSonics,Chicago Bulls,M. Jordan,Chicago Bulls,1996,2,4
Utah Jazz,Chicago Bulls,K. Malone,Utah Jazz,1997,2,4
Utah Jazz,Chicago Bulls,M. Jordan,Chicago Bulls,1998,2,4
San Antonio Spurs,New York Knicks,K. Malone,Utah Jazz,1999,4,1
